Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.23,-.30,-.06,-.15,-.18,-.25,-.22,-.31,-.42,-.39,-.28,***,***,-.19,-.19,-.32
1881,-.30,-.21,-.03,.01,.04,-.32,.09,-.03,-.26,-.42,-.36,-.22,-.17,-.18,-.30,.01,-.08,-.35
1882,.28,.22,.03,-.31,-.24,-.28,-.26,-.14,-.24,-.51,-.32,-.67,-.20,-.16,.09,-.17,-.23,-.35
1883,-.56,-.65,-.15,-.30,-.25,-.11,-.05,-.22,-.33,-.16,-.44,-.15,-.28,-.32,-.63,-.23,-.13,-.31
1884,-.17,-.11,-.64,-.59,-.37,-.41,-.45,-.50,-.45,-.44,-.56,-.46,-.43,-.40,-.14,-.54,-.45,-.48
1885,-1.00,-.44,-.22,-.48,-.56,-.43,-.31,-.38,-.37,-.34,-.36,-.09,-.42,-.45,-.63,-.42,-.38,-.36
1886,-.71,-.81,-.69,-.35,-.31,-.35,-.12,-.40,-.30,-.29,-.37,-.18,-.41,-.40,-.53,-.45,-.29,-.32
1887,-1.06,-.68,-.42,-.36,-.23,-.18,-.22,-.52,-.18,-.46,-.25,-.41,-.41,-.39,-.64,-.34,-.30,-.30
1888,-.46,-.58,-.60,-.19,-.13,-.01,.02,-.18,-.17,.00,.03,-.22,-.21,-.22,-.48,-.31,-.06,-.05
1889,-.25,.33,.00,.18,-.02,-.05,-.06,-.19,-.28,-.39,-.60,-.53,-.16,-.13,-.05,.05,-.10,-.43
1890,-.62,-.58,-.46,-.23,-.34,-.14,-.21,-.37,-.33,-.08,-.62,-.45,-.37,-.38,-.58,-.34,-.24,-.34
1891,-.45,-.68,-.14,-.34,-.14,-.11,-.11,-.11,-.06,-.27,-.51,-.02,-.24,-.28,-.52,-.21,-.11,-.28
1892,-.47,-.14,-.65,-.44,-.22,-.04,-.36,-.31,-.18,-.26,-.81,-.64,-.38,-.33,-.21,-.44,-.24,-.42
1893,-1.50,-.94,-.30,-.29,-.43,-.18,-.13,-.33,-.28,-.27,-.33,-.61,-.47,-.47,-1.03,-.34,-.21,-.29
1894,-.90,-.40,-.19,-.53,-.24,-.39,-.19,-.25,-.31,-.25,-.46,-.34,-.37,-.39,-.64,-.32,-.28,-.34
1895,-.67,-.79,-.47,-.16,-.28,-.18,-.16,-.25,-.04,-.07,-.10,-.20,-.28,-.29,-.60,-.30,-.20,-.07
1896,-.34,-.17,-.47,-.58,-.15,.09,.01,-.09,-.11,.07,-.19,-.19,-.18,-.18,-.24,-.40,.00,-.07
1897,-.38,-.40,-.38,-.03,.16,-.04,.06,-.05,-.05,-.12,-.25,-.26,-.14,-.14,-.32,-.08,-.01,-.14
1898,.08,-.41,-.77,-.25,-.24,-.05,-.09,-.14,-.15,-.34,-.48,-.24,-.26,-.26,-.20,-.42,-.09,-.33
1899,-.11,-.64,-.57,-.23,-.23,-.34,-.15,-.05,-.03,.06,.38,-.44,-.20,-.18,-.33,-.34,-.18,.13
1900,-.59,-.12,.07,-.08,-.01,-.08,-.10,-.07,-.01,.25,-.10,.00,-.07,-.11,-.38,-.01,-.08,.05
1901,-.32,-.08,.28,.13,-.10,.02,.03,-.15,-.26,-.30,-.20,-.40,-.11,-.08,-.14,.10,-.03,-.25
1902,-.16,.02,-.39,-.39,-.39,-.37,-.33,-.28,-.33,-.29,-.45,-.59,-.33,-.31,-.18,-.39,-.32,-.36
1903,-.21,.12,-.14,-.45,-.42,-.44,-.44,-.54,-.49,-.49,-.41,-.56,-.37,-.38,-.23,-.34,-.47,-.46
1904,-.77,-.59,-.40,-.49,-.43,-.48,-.58,-.53,-.63,-.38,-.08,-.33,-.47,-.49,-.64,-.44,-.53,-.36
1905,-.40,-.81,-.22,-.44,-.28,-.27,-.21,-.22,-.18,-.26,.09,-.16,-.28,-.30,-.52,-.32,-.23,-.12
1906,-.56,-.53,-.20,.04,-.24,-.12,-.26,-.17,-.24,-.18,-.40,.03,-.23,-.25,-.42,-.13,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.50,-.39,-.38,-.40,-.19,-.56,-.57,-.47,-.42,-.42,-.45,-.43,-.38
1908,-.54,-.28,-.70,-.48,-.29,-.30,-.36,-.57,-.31,-.45,-.62,-.55,-.45,-.45,-.46,-.49,-.41,-.46
1909,-.93,-.45,-.66,-.65,-.48,-.51,-.44,-.34,-.37,-.33,-.11,-.57,-.49,-.48,-.64,-.60,-.43,-.27
1910,-.34,-.39,-.50,-.41,-.30,-.45,-.38,-.40,-.43,-.31,-.58,-.81,-.44,-.42,-.44,-.40,-.41,-.44
1911,-.71,-.60,-.65,-.46,-.45,-.34,-.36,-.43,-.38,-.19,-.20,-.30,-.42,-.46,-.71,-.52,-.38,-.26
1912,-.35,-.16,-.60,-.16,-.12,-.13,-.51,-.77,-.81,-.85,-.50,-.57,-.46,-.44,-.27,-.29,-.47,-.72
1913,-.56,-.65,-.47,-.50,-.55,-.50,-.52,-.46,-.43,-.39,-.14,.12,-.42,-.48,-.59,-.51,-.49,-.32
1914,.15,-.11,-.35,-.38,-.19,-.23,-.35,-.28,-.31,-.01,-.22,-.04,-.20,-.18,.05,-.31,-.29,-.18
1915,-.25,-.09,-.23,.07,-.01,-.12,-.09,-.16,-.21,-.27,-.03,-.25,-.14,-.12,-.13,-.06,-.12,-.17
1916,-.09,-.16,-.39,-.34,-.36,-.50,-.34,-.37,-.49,-.35,-.47,-1.14,-.42,-.34,-.17,-.36,-.40,-.44
1917,-.54,-.70,-.75,-.65,-.73,-.49,-.32,-.40,-.31,-.63,-.32,-1.05,-.57,-.58,-.79,-.71,-.41,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.45,-.34,-.37,-.26,-.04,-.22,-.56,-.39,-.43,-.73,-.44,-.39,-.17
1919,-.38,-.42,-.38,-.24,-.43,-.39,-.33,-.30,-.19,-.09,-.47,-.55,-.35,-.35,-.45,-.35,-.34,-.25
1920,-.15,-.29,.00,-.20,-.21,-.25,-.25,-.32,-.35,-.40,-.46,-.71,-.30,-.29,-.33,-.14,-.28,-.40
1921,.18,-.09,-.12,-.18,-.25,-.15,-.03,-.29,-.18,.00,-.09,-.13,-.11,-.16,-.21,-.18,-.16,-.09
1922,-.37,-.62,-.11,-.16,-.19,-.16,-.28,-.36,-.43,-.33,-.13,-.14,-.27,-.27,-.37,-.15,-.27,-.30
1923,-.19,-.47,-.39,-.53,-.39,-.24,-.29,-.27,-.17,.06,.16,.09,-.22,-.24,-.27,-.44,-.27,.02
1924,-.29,-.21,.03,-.28,-.06,-.19,-.22,-.26,-.22,-.24,.10,-.36,-.18,-.15,-.14,-.10,-.23,-.12
1925,-.29,-.39,-.23,-.16,-.22,-.25,-.25,-.19,-.05,-.08,.22,.22,-.14,-.19,-.35,-.20,-.23,.03
1926,.53,.19,.37,-.12,-.23,-.20,-.20,-.06,-.02,.07,.17,-.29,.02,.06,.31,.01,-.15,.08
1927,-.29,-.08,-.47,-.26,-.13,-.13,-.08,-.16,.03,.24,.09,-.37,-.13,-.13,-.22,-.29,-.12,.12
1928,.27,.09,-.23,-.31,-.17,-.32,-.11,-.19,-.16,-.08,.06,-.04,-.10,-.13,.00,-.24,-.20,-.06
1929,-.56,-.80,-.19,-.35,-.28,-.39,-.35,-.19,-.20,-.01,-.02,-.65,-.33,-.28,-.46,-.27,-.31,-.08
1930,-.11,-.20,.11,-.16,-.20,-.12,-.03,.02,-.02,.02,.45,.09,-.01,-.07,-.32,-.08,-.04,.15
1931,.02,-.22,-.05,-.19,-.13,.15,.08,.09,.17,.36,.26,.10,.05,.05,-.04,-.13,.11,.26
1932,.39,-.19,-.20,.10,-.09,-.14,-.14,-.07,.11,.15,-.32,-.20,-.05,-.02,.10,-.06,-.12,-.02
1933,-.18,-.30,-.31,-.16,-.26,-.31,-.13,-.14,-.27,-.17,-.24,-.54,-.25,-.22,-.23,-.24,-.19,-.23
1934,-.15,.33,-.27,-.29,.08,-.01,-.03,-.09,-.14,.13,.27,.18,.00,-.06,-.12,-.16,-.05,.09
1935,-.39,.56,.03,-.35,-.29,-.15,-.04,-.06,-.06,.12,-.32,-.17,-.09,-.06,.12,-.20,-.08,-.08
1936,-.29,-.51,-.13,-.06,-.01,.04,.09,.03,.07,.07,.14,.15,-.03,-.06,-.32,-.06,.05,.09
1937,.08,.24,-.23,-.07,.13,.15,.15,.16,.29,.34,.25,.00,.12,.14,.16,-.06,.15,.29
1938,.35,.28,.33,.31,.03,-.07,-.02,.08,.15,.32,.31,-.14,.16,.17,.21,.22,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.25,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.04,.28,.17,.17,.16,.08,.27,.29,.31,.37,.18,.22,.28,.16,.13,.29
1941,.18,.47,.12,.13,.24,.21,.25,.19,.10,.50,.18,.20,.23,.25,.34,.16,.22,.26
1942,.41,-.08,.00,.09,.17,.11,.00,-.07,.11,.28,.26,.28,.13,.12,.18,.09,.01,.22
1943,-.09,.38,.00,.30,.23,-.07,-.02,.11,.14,.46,.36,.37,.18,.17,.19,.18,.01,.32
1944,.63,.43,.31,.18,.24,.17,.14,.17,.36,.44,.19,-.01,.27,.30,.48,.24,.16,.33
1945,.11,-.06,.09,.29,.08,.08,.06,.28,.20,.24,.08,-.21,.10,.12,.01,.15,.14,.18
1946,.34,.10,.12,.31,.03,-.05,-.04,-.09,-.03,.02,.07,-.45,.03,.05,.08,.15,-.06,.02
1947,-.04,-.03,.29,.22,.06,.00,-.03,-.05,-.01,.41,.19,-.04,.08,.05,-.17,.19,-.03,.20
1948,.31,-.15,-.28,-.03,.17,.04,.01,.02,-.03,.08,.03,-.40,-.02,.01,.04,-.05,.03,.03
1949,.22,-.10,.04,-.03,.00,-.20,-.12,-.05,-.10,.07,.04,-.14,-.03,-.05,-.09,.00,-.12,.00
1950,-.29,-.27,.05,-.22,-.05,-.07,-.19,-.20,-.09,-.06,-.33,-.12,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.52,-.18,.07,.17,-.02,.09,.22,.33,.29,.08,.38,.05,.00,-.33,.02,.10,.23
1952,.17,.17,-.22,.17,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.25,.41,.25,.25,.22,.18,.17,.27,.08,.22,.24,.22,.21,.30,.22,.17
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.06,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.25,-.10,-.23,-.25,-.22,-.26,-.23,-.29
1957,-.14,-.06,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.09,.13,-.04,.02,.09,.12,.13,.19,.19,.10,.04
1960,.15,.42,-.40,-.13,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.03,-.04,.07,-.17,.08,.13,.28,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.04,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.07
1963,.07,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.22,-.04,.07,.33
1964,-.05,-.03,-.32,-.30,-.10,-.09,-.13,-.24,-.28,-.31,-.22,-.27,-.19,-.17,-.02,-.24,-.15,-.27
1965,-.02,-.37,-.09,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.05,-.08,-.14,-.16,-.22,-.16,-.20,-.06
